Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
2026-01-01,14,6,0.02,0.5,6
2026-01-02,15,8,0,0,6
2026-01-03,21,14,0,0,6
2026-01-04,32,12,0.01,T,6
2026-01-05,33,23,T,0,5
2026-01-06,33,28,0.69,T,4
2026-01-07,42,24,0,0,4
2026-01-08,37,27,0.12,0,3
2026-01-09,37,26,T,T,3
2026-01-10,31,19,0.02,0.3,3
2026-01-11,29,15,T,T,3
2026-01-12,43,26,0,0,3
2026-01-13,42,31,0,0,3
2026-01-14,31,11,0,0,T
2026-01-15,32,11,T,T,T
2026-01-16,34,9,0.02,1.1,T
2026-01-17,13,-3,0.01,0.4,1
2026-01-18,14,-6,0.05,0.9,2
2026-01-19,2,-8,0,0,2
2026-01-20,15,-4,T,0.1,2
2026-01-21,22,9,0.06,0.8,2
2026-01-22,9,-19,T,T,3
2026-01-23,-9,-21,0,0,3
2026-01-24,-2,-15,0,0,2
2026-01-25,4,-9,T,T,2
2026-01-26,17,-13,T,T,2
2026-01-27,9,0,0,0,2
2026-01-28,11,-2,0,0,2
2026-01-29,11,-5,0,0,2
2026-01-30,11,-1,0,0,2
2026-01-31,21,0,0,0,2
2026-02-01,28,15,0.15,1.7,2
2026-02-02,22,10,0,0,3
2026-02-03,20,2,0,0,3
2026-02-04,25,6,0,0,3
2026-02-05,37,23,0,0,3
2026-02-06,37,18,0,0,2
2026-02-07,25,12,0,0,1
2026-02-08,32,24,0,0,1
2026-02-09,38,26,0,0,1
2026-02-10,35,25,0,0,1
2026-02-11,37,19,0,0,T
2026-02-12,44,27,0,0,T
2026-02-13,51,28,0,0,T
2026-02-14,54,28,0,0,T
2026-02-15,52,28,0,0,T
2026-02-16,54,36,0,0,T
2026-02-17,51,37,T,0,T
2026-02-18,44,28,0.82,5.6,0
2026-02-19,34,26,0.16,2,8
2026-02-20,30,16,T,T,5
2026-02-21,19,8,0,0,5
2026-02-22,14,6,0,0,5
2026-02-23,21,3,0,0,4
2026-02-24,37,16,0.02,T,4
2026-02-25,24,10,0,0,4
2026-02-26,42,15,0,0,4
2026-02-27,50,22,0,0,2
2026-02-28,22,17,0,0,T
2026-03-01,30,14,0,0,T
2026-03-02,43,21,0,0,T
2026-03-03,51,34,0,0,T
2026-03-04,49,33,0,0,0
2026-03-05,54,40,0,0,0
2026-03-06,51,39,0.17,0,0
2026-03-07,39,26,0.11,0.6,T
2026-03-08,60,39,T,0,0
2026-03-09,58,38,0,0,0
2026-03-10,43,28,0.05,0.4,0
2026-03-11,42,27,0.03,0.4,1
2026-03-12,46,25,0.12,0.1,0
2026-03-13,44,27,T,T,0
2026-03-14,33,24,0.44,5,0
2026-03-15,30,17,0.31,3.9,7
2026-03-16,18,6,0,0,8
2026-03-17,20,1,0.06,0.9,7
2026-03-18,47,20,T,T,7
2026-03-19,52,28,0,0,3
2026-03-20,62,43,0,0,T
2026-03-21,79,44,0,0,0
2026-03-22,46,32,0,0,0
2026-03-23,46,26,0,0,0
2026-03-24,53,39,0,0,0
2026-03-25,72,42,T,0,0
2026-03-26,57,31,T,0,0
2026-03-27,39,24,0,0,0
2026-03-28,59,21,0,0,0
2026-03-29,70,43,0,0,0
2026-03-30,73,40,0,0,0
2026-03-31,55,34,0,0,0
2026-04-01,45,32,0.01,0,0
2026-04-02,37,31,0.52,T,T
2026-04-03,41,32,0.79,T,0
2026-04-04,39,31,0.07,T,0
2026-04-05,53,29,T,0,0
2026-04-06,42,26,0,0,0
2026-04-07,44,23,0,0,0
2026-04-08,61,37,0,0,0
2026-04-09,49,35,0.03,0,0
2026-04-10,56,33,0,0,0
2026-04-11,51,37,0.34,0,0
